protocol,version,blockchain,address,min_block_number
uniswap,2,ethereum,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,10008355
uniswap,2,arbitrum,0xf1d7cc64fb4452f05c498126312ebe29f30fbcf9,150778518
uniswap,2,optimism,0x0c3c1c532f1e39edf36be9fe0be1410313e074bf,116121726
uniswap,2,polygon,0x9e5a52f57b3038f1b8eee45f28b3c1967e22799c,53479266
uniswap,2,avalanche_c,0x9e5a52f57b3038f1b8eee45f28b3c1967e22799c,41630079
uniswap,2,bnb,0x8909dc15e40173ff4699343b6eb8132c65e18ec6,36111192
uniswap,2,base,0x8909dc15e40173ff4699343b6eb8132c65e18ec6,10526493
uniswap,2,blast,0x5c346464d33f90babaf70db6388507cc889c1070,863023
uniswap,2,zora,0x0f797dc7efaea995bb916f268d919d0a1950ee3c,11227759
uniswap,2,worldchain,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,4630655
uniswap,2,unichain,0x1f98400000000000000000000000000000000002,23487
uniswap,2,monad,0x182a927119d56008d921126764bf884221b10f59,32036467
uniswap,2,megaeth,0xbf56488c857a881ae7e3bed27cf99c10a7ab7e50,7916355
uniswap,3,ethereum,0x1f98431c8ad98523631ae4a59f267346ea31f984,12369739
uniswap,3,arbitrum,0x1f98431c8ad98523631ae4a59f267346ea31f984,185
uniswap,3,optimism,0x1f98431c8ad98523631ae4a59f267346ea31f984,191
uniswap,3,polygon,0x1f98431c8ad98523631ae4a59f267346ea31f984,22757913
uniswap,3,avalanche_c,0x740b1c1de25031c31ff4fc9a62f554a55cdc1bad,31588570
uniswap,3,bnb,0xdb1d10011ad0ff90774d0c6bb92e5c5c8b4461f7,26340146
uniswap,3,base,0x33128a8fc17869897dce68ed026d694621f6fdfd,2009446
uniswap,3,blast,0x792edade80af5fc680d96a2ed80a44247d2cf6fd,430250
uniswap,3,zora,0x7145f8aeef1f6510e92164038e1b6f8cb2c42cbb,11013984
uniswap,3,worldchain,0x7a5028bda40e7b173c278c5342087826455ea25a,2754576
uniswap,3,unichain,0x1f98400000000000000000000000000000000003,24339
uniswap,3,celo,0xafe208a311b21f13ef87e33a90049fc17a7acdec,13924232
uniswap,3,zksync,0x8fda5a7a8dca67bbcdd10f02fa0649a937215422,12646554
uniswap,3,monad,0x204faca1764b154221e35c0d20abb3c525710498,32036467
uniswap,3,megaeth,0x3a5f0cd7d62452b7f899b2a5758bfa57be0de478,32036467
uniswap,4,ethereum,0x000000000004444c5dc75cb358380d2e3de08a90,21688545
uniswap,4,unichain,0x1f98400000000000000000000000000000000004,25565
uniswap,4,optimism,0x9a13f98cb987694c9f086b1f5eb990eea8264ec3,130990676
uniswap,4,base,0x498581ff718922c3f8e6a244956af099b2652b2b,25352561
